lat,lon,area_m2
27.03250128181818,75.89297532121213,81632.625
26.915994658333332,75.84583543333333,119718.453125
26.878408689999997,75.75279859,136013.5
26.77675670952381,75.83645150952381,945754.5
26.772243322222224,75.85304123333333,575645.0
26.92642186,75.77599005333333,141508.96875
26.896871822222224,75.79049649444444,169171.28125
26.950323,75.89295923333333,42528.46875
26.949733433333332,75.82509568333333,13547.0390625
26.86404771875,75.80392147500001,129265.3125
26.911931584615385,75.74434126923077,6303.9375
26.989725241935485,75.77031071935484,265112.25
26.972134819999997,75.77835228000001,9404.8671875
26.859396645454545,75.80987284545455,3222.75
26.950102057142857,75.75867295714285,6638.03125
26.930785871666668,75.71105691333334,75742.0
26.925596894444443,75.70265110555556,35047.8125
26.928281644444446,75.7008831888889,45343.625
26.921599186111113,75.65483748888889,457008.3125
26.812186758333336,75.667845,157685.546875
26.809079200000003,75.66633081,76304.734375
26.808665256818184,75.63607554545455,3000684.75
26.865266294594598,75.72883341081082,553092.0
27.01042584,75.79753373333332,103705.40625
27.019293954347823,75.80635815652174,459491.6875
27.005389236363637,75.79018568181817,343801.375
27.000815958333334,75.78631444166666,162756.6875
26.994540223076925,75.7816888,308193.09375
26.999288736666664,75.79354860666668,424861.6875
26.992061911363635,75.79397181818182,1569452.4375
26.976598658333334,75.78421045416667,1527194.75
26.98911069090909,75.7782755090909,638611.25
26.99913423448276,75.78035264482759,1148904.75
26.977935238095238,75.77493793333333,595629.0
27.0077888875,75.804385695,377411.125
